Giant Rat, 70, 3, 2, 15, 5, 1
Goblin, 80, 5, 4, 20, 8, 2
Armored Goblin, 120, 20, 3, 20, 10, 3
Zombie, 90, 10, 7, 25, 15, 4
Armored Zombie, 110, 25, 7, 15, 5, 5
Skeleton, 100, 15, 10, 15, 5, 6
Armored Skeleton, 130, 30, 10, 15, 5, 7
Wild Dog, 80, 15, 12, 15, 5, 8
Ghost, 130, 18, 15, 15, 5, 9
Warrior, 150, 30, 18, 60, 110, 10
Mage, 140, 30, 18, 60, 110, 11
Paladin, 170, 20, 20, 80, 120, 12
Necromancer, 150, 20, 20, 80, 120, 13
Zombie Rat, 270, 20, 20, 100, 150, 14
Zombie Dog, 300, 30, 20, 100, 150, 15
Zombie Goblin, 280, 30, 20, 100, 150, 16
Zombie Warrior, 370, 40, 40, 150, 200, 17
